"x"
"Month","HBT","TotalOperations","TotalOperationsQF","TotalCancelled","TotalCancelledQF","CancelledByPatientReason","CancelledByPatientReasonQF","ClinicalReason","ClinicalReasonQF","NonClinicalCapacityReason","NonClinicalCapacityReasonQF","OtherReason","OtherReasonQF"
201505,"S08000015",1861,NA,178,NA,52,NA,70,NA,27,NA,29,NA
201505,"S08000016",457,NA,66,NA,11,NA,10,NA,45,NA,0,NA
201505,"S08000017",1433,NA,113,NA,33,NA,56,NA,15,NA,9,NA
201505,"S08000019",1250,NA,91,NA,40,NA,34,NA,10,NA,7,NA
201505,"S08000020",3310,NA,264,NA,110,NA,71,NA,76,NA,7,NA
201505,"S08000022",1546,NA,241,NA,94,NA,53,NA,94,NA,0,NA
201505,"S08000024",4695,NA,551,NA,254,NA,81,NA,27,NA,189,NA
201505,"S08000025",182,NA,40,NA,30,NA,3,NA,5,NA,2,NA
201505,"S08000026",163,NA,8,NA,5,NA,2,NA,1,NA,0,NA
201505,"S08000028",102,NA,12,NA,3,NA,3,NA,6,NA,0,NA
201505,"S08000029",1291,NA,103,NA,22,NA,57,NA,22,NA,2,NA
201505,"S08000030",2389,NA,265,NA,80,NA,107,NA,66,NA,12,NA
201505,"S08000031",6438,NA,483,NA,191,NA,223,NA,64,NA,5,NA
201505,"S08000032",2419,NA,223,NA,112,NA,76,NA,35,NA,0,NA
201505,"SB0801",1274,NA,57,NA,20,NA,7,NA,30,NA,0,NA
201506,"S08000015",2015,NA,205,NA,71,NA,83,NA,29,NA,22,NA
201506,"S08000016",511,NA,45,NA,15,NA,9,NA,20,NA,1,NA
201506,"S08000017",1674,NA,113,NA,36,NA,60,NA,10,NA,7,NA
201506,"S08000019",1190,NA,97,NA,46,NA,37,NA,8,NA,6,NA
201506,"S08000020",3405,NA,310,NA,135,NA,96,NA,62,NA,17,NA
201506,"S08000022",1604,NA,199,NA,90,NA,42,NA,67,NA,0,NA
201506,"S08000024",5632,NA,649,NA,329,NA,93,NA,26,NA,201,NA
201506,"S08000025",165,NA,11,NA,4,NA,0,NA,7,NA,0,NA
201506,"S08000026",154,NA,8,NA,3,NA,2,NA,3,NA,0,NA
201506,"S08000028",126,NA,15,NA,5,NA,6,NA,2,NA,2,NA
201506,"S08000029",1438,NA,133,NA,46,NA,51,NA,29,NA,7,NA
201506,"S08000030",2494,NA,253,NA,95,NA,84,NA,56,NA,18,NA
201506,"S08000031",6788,NA,483,NA,186,NA,237,NA,54,NA,6,NA
201506,"S08000032",2486,NA,207,NA,109,NA,62,NA,36,NA,0,NA
201506,"SB0801",1259,NA,72,NA,24,NA,8,NA,40,NA,0,NA
201507,"S08000015",2081,NA,208,NA,70,NA,89,NA,17,NA,32,NA
201507,"S08000016",468,NA,33,NA,7,NA,8,NA,18,NA,0,NA
201507,"S08000017",1680,NA,151,NA,49,NA,64,NA,26,NA,12,NA
201507,"S08000019",1081,NA,94,NA,40,NA,26,NA,19,NA,9,NA
201507,"S08000020",3121,NA,315,NA,149,NA,84,NA,48,NA,34,NA
201507,"S08000022",1582,NA,192,NA,94,NA,56,NA,42,NA,0,NA
201507,"S08000024",4477,NA,587,NA,274,NA,114,NA,54,NA,145,NA
201507,"S08000025",168,NA,15,NA,3,NA,4,NA,8,NA,0,NA
201507,"S08000026",166,NA,20,NA,7,NA,4,NA,9,NA,0,NA
201507,"S08000028",117,NA,10,NA,4,NA,4,NA,1,NA,1,NA
201507,"S08000029",1291,NA,90,NA,37,NA,40,NA,13,NA,0,NA
201507,"S08000030",2062,NA,196,NA,55,NA,75,NA,57,NA,9,NA
201507,"S08000031",5780,NA,419,NA,159,NA,207,NA,47,NA,6,NA
201507,"S08000032",2302,NA,224,NA,113,NA,63,NA,48,NA,0,NA
201507,"SB0801",1349,NA,88,NA,22,NA,16,NA,50,NA,0,NA
201508,"S08000015",1922,NA,193,NA,74,NA,62,NA,26,NA,31,NA
201508,"S08000016",469,NA,57,NA,8,NA,12,NA,36,NA,1,NA
201508,"S08000017",1657,NA,136,NA,49,NA,70,NA,6,NA,11,NA
201508,"S08000019",1154,NA,87,NA,40,NA,27,NA,12,NA,8,NA
201508,"S08000020",3138,NA,269,NA,125,NA,76,NA,60,NA,8,NA
201508,"S08000022",1409,NA,212,NA,100,NA,48,NA,64,NA,0,NA
201508,"S08000024",5046,NA,517,NA,261,NA,152,NA,65,NA,39,NA
201508,"S08000025",182,NA,11,NA,1,NA,1,NA,6,NA,3,NA
201508,"S08000026",172,NA,11,NA,5,NA,6,NA,0,NA,0,NA
201508,"S08000028",113,NA,8,NA,3,NA,3,NA,2,NA,0,NA
201508,"S08000029",1149,NA,89,NA,22,NA,42,NA,8,NA,17,NA
201508,"S08000030",2461,NA,252,NA,74,NA,89,NA,68,NA,21,NA
201508,"S08000031",6285,NA,484,NA,180,NA,246,NA,50,NA,8,NA
201508,"S08000032",2465,NA,214,NA,114,NA,68,NA,32,NA,0,NA
201508,"SB0801",1326,NA,90,NA,24,NA,10,NA,56,NA,0,NA
201509,"S08000015",1976,NA,196,NA,70,NA,78,NA,24,NA,24,NA
201509,"S08000016",550,NA,46,NA,18,NA,12,NA,16,NA,0,NA
201509,"S08000017",1659,NA,142,NA,57,NA,59,NA,19,NA,7,NA
201509,"S08000019",1152,NA,115,NA,35,NA,51,NA,12,NA,17,NA
201509,"S08000020",3319,NA,268,NA,105,NA,90,NA,50,NA,23,NA
201509,"S08000022",1648,NA,216,NA,110,NA,63,NA,43,NA,0,NA
201509,"S08000024",5357,NA,600,NA,280,NA,167,NA,84,NA,69,NA
201509,"S08000025",162,NA,13,NA,9,NA,1,NA,3,NA,0,NA
201509,"S08000026",170,NA,7,NA,6,NA,1,NA,0,NA,0,NA
201509,"S08000028",135,NA,13,NA,4,NA,6,NA,3,NA,0,NA
201509,"S08000029",1436,NA,89,NA,26,NA,43,NA,19,NA,1,NA
201509,"S08000030",2610,NA,253,NA,71,NA,88,NA,74,NA,20,NA
201509,"S08000031",7014,NA,556,NA,200,NA,245,NA,100,NA,11,NA
201509,"S08000032",2414,NA,222,NA,106,NA,86,NA,30,NA,0,NA
201509,"SB0801",1336,NA,93,NA,25,NA,10,NA,58,NA,0,NA
201510,"S08000015",2051,NA,215,NA,76,NA,89,NA,25,NA,25,NA
201510,"S08000016",510,NA,46,NA,10,NA,12,NA,24,NA,0,NA
201510,"S08000017",1667,NA,153,NA,41,NA,83,NA,14,NA,15,NA
201510,"S08000019",1058,NA,113,NA,34,NA,47,NA,23,NA,9,NA
201510,"S08000020",3229,NA,242,NA,99,NA,80,NA,48,NA,15,NA
201510,"S08000022",1502,NA,227,NA,107,NA,57,NA,63,NA,0,NA
201510,"S08000024",5438,NA,640,NA,304,NA,144,NA,91,NA,101,NA
201510,"S08000025",247,NA,30,NA,5,NA,9,NA,11,NA,5,NA
201510,"S08000026",148,NA,8,NA,3,NA,3,NA,2,NA,0,NA
201510,"S08000028",114,NA,11,NA,4,NA,1,NA,4,NA,2,NA
201510,"S08000029",1335,NA,105,NA,38,NA,46,NA,18,NA,3,NA
201510,"S08000030",2393,NA,225,NA,72,NA,89,NA,50,NA,14,NA
201510,"S08000031",7859,NA,738,NA,288,NA,322,NA,122,NA,6,NA
201510,"S08000032",2523,NA,213,NA,88,NA,84,NA,41,NA,0,NA
201510,"SB0801",1413,NA,84,NA,29,NA,9,NA,46,NA,0,NA
201511,"S08000015",2126,NA,222,NA,73,NA,88,NA,37,NA,24,NA
201511,"S08000016",485,NA,37,NA,11,NA,10,NA,16,NA,0,NA
201511,"S08000017",1511,NA,115,NA,25,NA,62,NA,12,NA,16,NA
201511,"S08000019",1170,NA,101,NA,33,NA,42,NA,21,NA,5,NA
201511,"S08000020",3345,NA,269,NA,111,NA,81,NA,64,NA,13,NA
201511,"S08000022",1404,NA,166,NA,85,NA,46,NA,34,NA,1,NA
201511,"S08000024",5701,NA,749,NA,395,NA,185,NA,102,NA,67,NA
201511,"S08000025",206,NA,18,NA,6,NA,7,NA,3,NA,2,NA
201511,"S08000026",160,NA,4,NA,3,NA,1,NA,0,NA,0,NA
201511,"S08000028",118,NA,8,NA,0,NA,5,NA,3,NA,0,NA
201511,"S08000029",1488,NA,113,NA,41,NA,54,NA,18,NA,0,NA
201511,"S08000030",2368,NA,245,NA,69,NA,101,NA,67,NA,8,NA
